TStampPC,Brd,TStamp_servEvt,BrdTemp,DetTemp,FPGATemp,HVTemp,Vmon,Imon,HVstatus,BrdStatus,timestamp_utc
1771537287942,0,1771537287251,34.0,27.0,38.5,30.4,56.997,0.006,1,0x44D,2026-02-19 21:41:27.942000+00:00
1771537288943,0,1771537288325,34.0,27.0,38.3,30.5,57.002,0.005,1,0x44D,2026-02-19 21:41:28.943000+00:00
1771537289944,0,1771537289399,34.0,27.0,38.4,30.5,56.998,0.006,1,0x44D,2026-02-19 21:41:29.944000+00:00
1771537290945,0,1771537290472,34.0,27.0,38.4,30.5,56.998,0.006,1,0x44D,2026-02-19 21:41:30.945000+00:00
1771537291946,0,1771537291546,34.0,27.0,38.4,30.5,56.998,0.006,1,0x44D,2026-02-19 21:41:31.946000+00:00
1771537292947,0,1771537292620,34.0,27.0,38.3,30.5,56.998,0.007,1,0x44D,2026-02-19 21:41:32.947000+00:00
1771537293948,0,1771537293693,34.0,27.0,38.4,30.6,57.003,0.006,1,0x44D,2026-02-19 21:41:33.948000+00:00
1771537294949,0,1771537294767,34.0,27.0,38.5,30.6,56.999,0.006,1,0x44D,2026-02-19 21:41:34.949000+00:00
1771537295950,0,1771537295841,34.0,27.0,38.4,30.6,56.999,0.006,1,0x44D,2026-02-19 21:41:35.950000+00:00
1771537296951,0,1771537296915,34.0,27.0,38.4,30.6,56.999,0.006,1,0x44D,2026-02-19 21:41:36.951000+00:00
1771537297952,0,1771537296915,34.0,27.0,38.4,30.6,56.999,0.006,1,0x44D,2026-02-19 21:41:37.952000+00:00
1771537298953,0,1771537297997,34.0,27.0,38.5,30.6,56.999,0.006,1,0x44D,2026-02-19 21:41:38.953000+00:00
1771537299954,0,1771537299062,34.0,27.0,38.4,30.7,57.0,0.007,1,0x44D,2026-02-19 21:41:39.954000+00:00
1771537300955,0,1771537300136,34.0,27.0,38.6,30.7,56.996,0.006,1,0x44D,2026-02-19 21:41:40.955000+00:00
1771537301956,0,1771537301210,34.0,27.0,38.6,30.7,56.996,0.005,1,0x44D,2026-02-19 21:41:41.956000+00:00
1771537302957,0,1771537302283,34.0,27.0,38.8,30.7,57.0,0.007,1,0x44D,2026-02-19 21:41:42.957000+00:00
1771537303958,0,1771537303357,34.0,27.0,38.6,30.7,57.0,0.005,1,0x44D,2026-02-19 21:41:43.958000+00:00
1771537304959,0,1771537304431,34.0,27.0,38.3,30.8,57.001,0.007,1,0x44D,2026-02-19 21:41:44.959000+00:00
1771537305960,0,1771537305504,34.0,27.0,38.5,30.8,57.005,0.006,1,0x44D,2026-02-19 21:41:45.960000+00:00
1771537306961,0,1771537306578,34.5,27.0,38.6,30.8,57.001,0.005,1,0x44D,2026-02-19 21:41:46.961000+00:00
1771537307962,0,1771537307652,34.5,27.0,38.6,30.8,57.001,0.006,1,0x44D,2026-02-19 21:41:47.962000+00:00
1771537308963,0,1771537308726,34.5,26.9,38.8,30.8,56.997,0.006,1,0x44D,2026-02-19 21:41:48.963000+00:00
