channel,samples,occupancy_fraction,hg_mean,hg_median,hg_std,hg_p95,lg_mean,lg_median,lg_std,lg_p95,mip_pedestal_hg,mip_threshold_hg,mip_peak_hg,mip_pedestal_lg,mip_threshold_lg,mip_peak_lg
34,22643,0.016,104.571,104.0,7.689,118.0,106.401,106.0,6.513,118.0,104.0,150.0,,106.0,136.0,
35,22643,0.016,104.847,105.0,7.642,118.0,104.165,104.0,6.883,116.0,105.0,150.0,,104.0,141.065,
36,22643,0.016,104.357,104.0,6.502,116.0,105.885,105.0,6.326,117.0,104.0,150.0,,105.0,135.0,
37,22643,0.016,103.542,103.0,7.797,117.0,105.682,106.0,7.861,119.0,103.0,150.0,,106.0,143.065,
38,22643,0.016,105.51,105.0,8.016,119.0,107.131,107.0,7.424,120.0,105.0,150.0,,107.0,144.065,
39,22643,0.016,103.712,103.0,7.523,117.0,105.173,105.0,6.995,117.0,103.0,150.0,,105.0,142.065,
40,22643,0.016,105.46,105.0,7.022,118.0,105.598,105.0,7.753,119.0,105.0,150.0,,105.0,142.065,
41,22643,0.016,103.677,103.0,6.902,116.0,105.461,105.0,5.915,116.0,103.0,150.0,,105.0,135.0,
42,22643,0.016,105.095,105.0,7.584,118.0,103.581,103.0,7.303,116.0,105.0,150.0,,103.0,140.065,
43,22643,0.016,102.437,102.0,7.18,115.0,105.978,106.0,7.653,119.0,102.0,150.0,,106.0,143.065,
44,22643,0.016,104.355,104.0,7.561,117.0,105.295,105.0,7.774,118.0,104.0,150.0,,105.0,142.065,
45,22643,0.016,103.491,103.0,6.354,115.0,105.259,105.0,6.502,117.0,103.0,150.0,,105.0,135.0,
46,22643,0.016,102.725,102.0,7.567,116.0,106.497,106.0,6.04,117.0,102.0,150.0,,106.0,136.0,
47,22643,0.016,103.615,103.0,6.808,115.0,105.81,106.0,7.815,119.0,103.0,150.0,,106.0,143.065,
48,22643,0.016,102.939,102.0,7.286,116.0,107.121,107.0,7.761,120.0,102.0,150.0,,107.0,144.065,
