timestamp_utc,events,trigger_rate_hz,trigger_rate_sigma_hz,timestamp_local
2026-02-19 22:49:00+00:00,114,1.9,0.178,2026-02-19 14:49:00-08:00
2026-02-19 22:50:00+00:00,123,2.05,0.1848,2026-02-19 14:50:00-08:00
2026-02-19 22:51:00+00:00,126,2.1,0.1871,2026-02-19 14:51:00-08:00
2026-02-19 22:52:00+00:00,91,1.5167,0.159,2026-02-19 14:52:00-08:00
2026-02-19 22:53:00+00:00,108,1.8,0.1732,2026-02-19 14:53:00-08:00
2026-02-19 22:54:00+00:00,105,1.75,0.1708,2026-02-19 14:54:00-08:00
2026-02-19 22:55:00+00:00,106,1.7667,0.1716,2026-02-19 14:55:00-08:00
2026-02-19 22:56:00+00:00,95,1.5833,0.1624,2026-02-19 14:56:00-08:00
2026-02-19 22:57:00+00:00,105,1.75,0.1708,2026-02-19 14:57:00-08:00
2026-02-19 22:58:00+00:00,108,1.8,0.1732,2026-02-19 14:58:00-08:00
2026-02-19 22:59:00+00:00,103,1.7167,0.1691,2026-02-19 14:59:00-08:00
2026-02-19 23:00:00+00:00,125,2.0833,0.1863,2026-02-19 15:00:00-08:00
2026-02-19 23:01:00+00:00,106,1.7667,0.1716,2026-02-19 15:01:00-08:00
2026-02-19 23:02:00+00:00,94,1.5667,0.1616,2026-02-19 15:02:00-08:00
2026-02-19 23:03:00+00:00,104,1.7333,0.17,2026-02-19 15:03:00-08:00
2026-02-19 23:04:00+00:00,119,1.9833,0.1818,2026-02-19 15:04:00-08:00
2026-02-19 23:05:00+00:00,116,1.9333,0.1795,2026-02-19 15:05:00-08:00
2026-02-19 23:06:00+00:00,101,1.6833,0.1675,2026-02-19 15:06:00-08:00
2026-02-19 23:07:00+00:00,108,1.8,0.1732,2026-02-19 15:07:00-08:00
2026-02-19 23:08:00+00:00,130,2.1667,0.19,2026-02-19 15:08:00-08:00
2026-02-19 23:09:00+00:00,116,1.9333,0.1795,2026-02-19 15:09:00-08:00
2026-02-19 23:10:00+00:00,131,2.1833,0.1908,2026-02-19 15:10:00-08:00
2026-02-19 23:11:00+00:00,115,1.9167,0.1787,2026-02-19 15:11:00-08:00
2026-02-19 23:12:00+00:00,100,1.6667,0.1667,2026-02-19 15:12:00-08:00
2026-02-19 23:13:00+00:00,115,1.9167,0.1787,2026-02-19 15:13:00-08:00
2026-02-19 23:14:00+00:00,114,1.9,0.178,2026-02-19 15:14:00-08:00
2026-02-19 23:15:00+00:00,104,1.7333,0.17,2026-02-19 15:15:00-08:00
2026-02-19 23:16:00+00:00,109,1.8167,0.174,2026-02-19 15:16:00-08:00
2026-02-19 23:17:00+00:00,109,1.8167,0.174,2026-02-19 15:17:00-08:00
2026-02-19 23:18:00+00:00,136,2.2667,0.1944,2026-02-19 15:18:00-08:00
2026-02-19 23:19:00+00:00,113,1.8833,0.1772,2026-02-19 15:19:00-08:00
2026-02-19 23:20:00+00:00,139,2.3167,0.1965,2026-02-19 15:20:00-08:00
2026-02-19 23:21:00+00:00,110,1.8333,0.1748,2026-02-19 15:21:00-08:00
2026-02-19 23:22:00+00:00,100,1.6667,0.1667,2026-02-19 15:22:00-08:00
2026-02-19 23:23:00+00:00,107,1.7833,0.1724,2026-02-19 15:23:00-08:00
2026-02-19 23:24:00+00:00,123,2.05,0.1848,2026-02-19 15:24:00-08:00
2026-02-19 23:25:00+00:00,88,1.4667,0.1563,2026-02-19 15:25:00-08:00
2026-02-19 23:26:00+00:00,125,2.0833,0.1863,2026-02-19 15:26:00-08:00
2026-02-19 23:27:00+00:00,116,1.9333,0.1795,2026-02-19 15:27:00-08:00
2026-02-19 23:28:00+00:00,113,1.8833,0.1772,2026-02-19 15:28:00-08:00
2026-02-19 23:29:00+00:00,107,1.7833,0.1724,2026-02-19 15:29:00-08:00
2026-02-19 23:30:00+00:00,125,2.0833,0.1863,2026-02-19 15:30:00-08:00
2026-02-19 23:31:00+00:00,109,1.8167,0.174,2026-02-19 15:31:00-08:00
2026-02-19 23:32:00+00:00,130,2.1667,0.19,2026-02-19 15:32:00-08:00
2026-02-19 23:33:00+00:00,103,1.7167,0.1691,2026-02-19 15:33:00-08:00
2026-02-19 23:34:00+00:00,100,1.6667,0.1667,2026-02-19 15:34:00-08:00
2026-02-19 23:35:00+00:00,105,1.75,0.1708,2026-02-19 15:35:00-08:00
2026-02-19 23:36:00+00:00,111,1.85,0.1756,2026-02-19 15:36:00-08:00
2026-02-19 23:37:00+00:00,107,1.7833,0.1724,2026-02-19 15:37:00-08:00
2026-02-19 23:38:00+00:00,120,2.0,0.1826,2026-02-19 15:38:00-08:00
2026-02-19 23:39:00+00:00,123,2.05,0.1848,2026-02-19 15:39:00-08:00
2026-02-19 23:40:00+00:00,114,1.9,0.178,2026-02-19 15:40:00-08:00
2026-02-19 23:41:00+00:00,108,1.8,0.1732,2026-02-19 15:41:00-08:00
2026-02-19 23:42:00+00:00,119,1.9833,0.1818,2026-02-19 15:42:00-08:00
2026-02-19 23:43:00+00:00,112,1.8667,0.1764,2026-02-19 15:43:00-08:00
2026-02-19 23:44:00+00:00,95,1.5833,0.1624,2026-02-19 15:44:00-08:00
2026-02-19 23:45:00+00:00,126,2.1,0.1871,2026-02-19 15:45:00-08:00
2026-02-19 23:46:00+00:00,128,2.1333,0.1886,2026-02-19 15:46:00-08:00
2026-02-19 23:47:00+00:00,115,1.9167,0.1787,2026-02-19 15:47:00-08:00
2026-02-19 23:48:00+00:00,114,1.9,0.178,2026-02-19 15:48:00-08:00
2026-02-19 23:49:00+00:00,118,1.9667,0.181,2026-02-19 15:49:00-08:00
2026-02-19 23:50:00+00:00,119,1.9833,0.1818,2026-02-19 15:50:00-08:00
2026-02-19 23:51:00+00:00,134,2.2333,0.1929,2026-02-19 15:51:00-08:00
2026-02-19 23:52:00+00:00,132,2.2,0.1915,2026-02-19 15:52:00-08:00
2026-02-19 23:53:00+00:00,114,1.9,0.178,2026-02-19 15:53:00-08:00
2026-02-19 23:54:00+00:00,131,2.1833,0.1908,2026-02-19 15:54:00-08:00
2026-02-19 23:55:00+00:00,115,1.9167,0.1787,2026-02-19 15:55:00-08:00
2026-02-19 23:56:00+00:00,129,2.15,0.1893,2026-02-19 15:56:00-08:00
2026-02-19 23:57:00+00:00,105,1.75,0.1708,2026-02-19 15:57:00-08:00
2026-02-19 23:58:00+00:00,135,2.25,0.1936,2026-02-19 15:58:00-08:00
2026-02-19 23:59:00+00:00,106,1.7667,0.1716,2026-02-19 15:59:00-08:00
2026-02-20 00:00:00+00:00,123,2.05,0.1848,2026-02-19 16:00:00-08:00
2026-02-20 00:01:00+00:00,115,1.9167,0.1787,2026-02-19 16:01:00-08:00
2026-02-20 00:02:00+00:00,113,1.8833,0.1772,2026-02-19 16:02:00-08:00
2026-02-20 00:03:00+00:00,120,2.0,0.1826,2026-02-19 16:03:00-08:00
2026-02-20 00:04:00+00:00,127,2.1167,0.1878,2026-02-19 16:04:00-08:00
2026-02-20 00:05:00+00:00,100,1.6667,0.1667,2026-02-19 16:05:00-08:00
2026-02-20 00:06:00+00:00,130,2.1667,0.19,2026-02-19 16:06:00-08:00
2026-02-20 00:07:00+00:00,128,2.1333,0.1886,2026-02-19 16:07:00-08:00
2026-02-20 00:08:00+00:00,114,1.9,0.178,2026-02-19 16:08:00-08:00
2026-02-20 00:09:00+00:00,118,1.9667,0.181,2026-02-19 16:09:00-08:00
2026-02-20 00:10:00+00:00,128,2.1333,0.1886,2026-02-19 16:10:00-08:00
2026-02-20 00:11:00+00:00,89,1.4833,0.1572,2026-02-19 16:11:00-08:00
2026-02-20 00:12:00+00:00,111,1.85,0.1756,2026-02-19 16:12:00-08:00
2026-02-20 00:13:00+00:00,109,1.8167,0.174,2026-02-19 16:13:00-08:00
2026-02-20 00:14:00+00:00,124,2.0667,0.1856,2026-02-19 16:14:00-08:00
2026-02-20 00:15:00+00:00,109,1.8167,0.174,2026-02-19 16:15:00-08:00
2026-02-20 00:16:00+00:00,106,1.7667,0.1716,2026-02-19 16:16:00-08:00
2026-02-20 00:17:00+00:00,127,2.1167,0.1878,2026-02-19 16:17:00-08:00
2026-02-20 00:18:00+00:00,125,2.0833,0.1863,2026-02-19 16:18:00-08:00
2026-02-20 00:19:00+00:00,107,1.7833,0.1724,2026-02-19 16:19:00-08:00
2026-02-20 00:20:00+00:00,101,1.6833,0.1675,2026-02-19 16:20:00-08:00
2026-02-20 00:21:00+00:00,101,1.6833,0.1675,2026-02-19 16:21:00-08:00
2026-02-20 00:22:00+00:00,125,2.0833,0.1863,2026-02-19 16:22:00-08:00
2026-02-20 00:23:00+00:00,127,2.1167,0.1878,2026-02-19 16:23:00-08:00
2026-02-20 00:24:00+00:00,131,2.1833,0.1908,2026-02-19 16:24:00-08:00
2026-02-20 00:25:00+00:00,114,1.9,0.178,2026-02-19 16:25:00-08:00
2026-02-20 00:26:00+00:00,108,1.8,0.1732,2026-02-19 16:26:00-08:00
2026-02-20 00:27:00+00:00,118,1.9667,0.181,2026-02-19 16:27:00-08:00
2026-02-20 00:28:00+00:00,140,2.3333,0.1972,2026-02-19 16:28:00-08:00
2026-02-20 00:29:00+00:00,126,2.1,0.1871,2026-02-19 16:29:00-08:00
2026-02-20 00:30:00+00:00,122,2.0333,0.1841,2026-02-19 16:30:00-08:00
2026-02-20 00:31:00+00:00,99,1.65,0.1658,2026-02-19 16:31:00-08:00
2026-02-20 00:32:00+00:00,112,1.8667,0.1764,2026-02-19 16:32:00-08:00
2026-02-20 00:33:00+00:00,96,1.6,0.1633,2026-02-19 16:33:00-08:00
2026-02-20 00:34:00+00:00,126,2.1,0.1871,2026-02-19 16:34:00-08:00
2026-02-20 00:35:00+00:00,109,1.8167,0.174,2026-02-19 16:35:00-08:00
2026-02-20 00:36:00+00:00,125,2.0833,0.1863,2026-02-19 16:36:00-08:00
2026-02-20 00:37:00+00:00,112,1.8667,0.1764,2026-02-19 16:37:00-08:00
2026-02-20 00:38:00+00:00,115,1.9167,0.1787,2026-02-19 16:38:00-08:00
2026-02-20 00:39:00+00:00,124,2.0667,0.1856,2026-02-19 16:39:00-08:00
2026-02-20 00:40:00+00:00,99,1.65,0.1658,2026-02-19 16:40:00-08:00
2026-02-20 00:41:00+00:00,94,1.5667,0.1616,2026-02-19 16:41:00-08:00
2026-02-20 00:42:00+00:00,110,1.8333,0.1748,2026-02-19 16:42:00-08:00
2026-02-20 00:43:00+00:00,90,1.5,0.1581,2026-02-19 16:43:00-08:00
2026-02-20 00:44:00+00:00,119,1.9833,0.1818,2026-02-19 16:44:00-08:00
2026-02-20 00:45:00+00:00,134,2.2333,0.1929,2026-02-19 16:45:00-08:00
2026-02-20 00:46:00+00:00,114,1.9,0.178,2026-02-19 16:46:00-08:00
2026-02-20 00:47:00+00:00,119,1.9833,0.1818,2026-02-19 16:47:00-08:00
2026-02-20 00:48:00+00:00,103,1.7167,0.1691,2026-02-19 16:48:00-08:00
2026-02-20 00:49:00+00:00,113,1.8833,0.1772,2026-02-19 16:49:00-08:00
2026-02-20 00:50:00+00:00,109,1.8167,0.174,2026-02-19 16:50:00-08:00
2026-02-20 00:51:00+00:00,96,1.6,0.1633,2026-02-19 16:51:00-08:00
2026-02-20 00:52:00+00:00,109,1.8167,0.174,2026-02-19 16:52:00-08:00
2026-02-20 00:53:00+00:00,109,1.8167,0.174,2026-02-19 16:53:00-08:00
2026-02-20 00:54:00+00:00,137,2.2833,0.1951,2026-02-19 16:54:00-08:00
2026-02-20 00:55:00+00:00,114,1.9,0.178,2026-02-19 16:55:00-08:00
2026-02-20 00:56:00+00:00,109,1.8167,0.174,2026-02-19 16:56:00-08:00
2026-02-20 00:57:00+00:00,113,1.8833,0.1772,2026-02-19 16:57:00-08:00
2026-02-20 00:58:00+00:00,118,1.9667,0.181,2026-02-19 16:58:00-08:00
2026-02-20 00:59:00+00:00,76,1.2667,0.1453,2026-02-19 16:59:00-08:00
