TStampPC		Brd		TStamp_servEvt		BrdTemp		DetTemp		FPGATemp	HVTemp		Vmon	Imon	HVstatus	BrdStatus
1771537239894	00		1771537238936		33.0		27.1		37.3		29.4		57.001	0.006	1			0x44D			
1771537240895	00		1771537240007		33.0		27.1		37.5		29.5		56.995	0.006	1			0x44D			
1771537241896	00		1771537241081		33.0		27.1		37.4		29.5		56.995	0.006	1			0x44D			
1771537242897	00		1771537242154		33.0		27.1		37.5		29.5		56.999	0.007	1			0x44D			
1771537243898	00		1771537243228		33.0		27.1		37.5		29.5		56.999	0.006	1			0x44D			
1771537244899	00		1771537244302		33.0		27.1		37.7		29.6		57.003	0.006	1			0x44D			
1771537245900	00		1771537245376		33.0		27.1		37.4		29.6		57.003	0.006	1			0x44D			
1771537246901	00		1771537246449		33.0		27.0		37.5		29.6		57.003	0.006	1			0x44D			
1771537247902	00		1771537247523		33.0		27.0		37.7		29.6		57.000	0.007	1			0x44D			
1771537248903	00		1771537248597		33.0		27.0		37.5		29.7		57.001	0.006	1			0x44D			
1771537249904	00		1771537249671		33.0		27.0		37.8		29.7		57.001	0.006	1			0x44D			
1771537250905	00		1771537250744		33.0		27.0		37.5		29.7		57.001	0.007	1			0x44D			
1771537251906	00		1771537251818		33.0		27.0		37.8		29.7		57.001	0.006	1			0x44D			
1771537252907	00		1771537252892		33.0		27.0		37.7		29.7		56.997	0.006	1			0x44D			
1771537253908	00		1771537252892		33.0		27.0		37.7		29.7		56.997	0.006	1			0x44D			
1771537254909	00		1771537253965		33.0		27.0		37.8		29.8		57.002	0.007	1			0x44D			
1771537255910	00		1771537255039		33.0		27.0		37.5		29.8		57.002	0.006	1			0x44D			
1771537256911	00		1771537256113		33.0		27.0		37.9		29.8		57.002	0.006	1			0x44D			
1771537257912	00		1771537257187		33.0		27.0		37.8		29.9		56.999	0.006	1			0x44D			
1771537258913	00		1771537258260		33.0		27.0		37.9		29.9		56.999	0.006	1			0x44D			
1771537259914	00		1771537259334		33.5		27.0		37.9		29.9		57.003	0.006	1			0x44D			
1771537260915	00		1771537260408		33.5		27.0		38.0		29.9		56.999	0.006	1			0x44D			
1771537261916	00		1771537261482		33.5		27.0		37.8		29.9		56.999	0.006	1			0x44D			
1771537262917	00		1771537262555		33.5		27.0		37.9		30.0		57.000	0.006	1			0x44D			
1771537263918	00		1771537263629		33.5		27.0		38.0		30.0		57.004	0.006	1			0x44D			
1771537264919	00		1771537264703		33.5		27.0		37.9		30.0		57.000	0.007	1			0x44D			
1771537265920	00		1771537265776		33.5		27.0		38.0		30.0		56.996	0.006	1			0x44D			
1771537266921	00		1771537266850		33.5		27.0		37.9		30.1		57.005	0.006	1			0x44D			
1771537267922	00		1771537266850		33.5		27.0		37.9		30.1		57.005	0.006	1			0x44D			
1771537268923	00		1771537267964		33.5		27.0		38.0		30.1		57.001	0.006	1			0x44D			
1771537269924	00		1771537268998		33.5		27.0		38.0		30.1		57.001	0.007	1			0x44D			
1771537270925	00		1771537270071		33.5		27.0		38.0		30.1		56.998	0.007	1			0x44D			
1771537271926	00		1771537271145		33.5		27.0		38.0		30.1		57.001	0.006	1			0x44D			
1771537272927	00		1771537272219		33.5		27.0		38.1		30.2		56.999	0.006	1			0x44D			
1771537273928	00		1771537273293		33.5		27.0		38.1		30.2		57.002	0.006	1			0x44D			
1771537274929	00		1771537274366		33.5		27.0		38.0		30.2		56.999	0.006	1			0x44D			
1771537275930	00		1771537275440		33.5		27.0		38.1		30.2		56.999	0.007	1			0x44D			
1771537276931	00		1771537276514		33.5		27.0		38.1		30.2		57.002	0.006	1			0x44D			
1771537277932	00		1771537277587		33.5		27.0		38.4		30.3		57.000	0.006	1			0x44D			
1771537278933	00		1771537278661		33.5		27.0		38.1		30.3		56.996	0.007	1			0x44D			
1771537279934	00		1771537279735		33.5		27.0		38.1		30.3		57.000	0.006	1			0x44D			
1771537280935	00		1771537280809		33.5		27.0		38.3		30.3		57.000	0.006	1			0x44D			
1771537281936	00		1771537281882		34.0		27.0		38.3		30.3		57.000	0.007	1			0x44D			
1771537282937	00		1771537281882		34.0		27.0		38.3		30.3		57.000	0.007	1			0x44D			
1771537283938	00		1771537282980		34.0		27.0		38.3		30.4		57.001	0.006	1			0x44D			
1771537284939	00		1771537284030		34.0		27.0		38.3		30.4		57.001	0.006	1			0x44D			
1771537285940	00		1771537285104		34.0		27.0		38.1		30.4		57.001	0.005	1			0x44D			
1771537286941	00		1771537286177		34.0		27.0		38.1		30.4		57.001	0.006	1			0x44D			
1771537287942	00		1771537287251		34.0		27.0		38.5		30.4		56.997	0.006	1			0x44D			
1771537288943	00		1771537288325		34.0		27.0		38.3		30.5		57.002	0.005	1			0x44D			
1771537289944	00		1771537289399		34.0		27.0		38.4		30.5		56.998	0.006	1			0x44D			
1771537290945	00		1771537290472		34.0		27.0		38.4		30.5		56.998	0.006	1			0x44D			
1771537291946	00		1771537291546		34.0		27.0		38.4		30.5		56.998	0.006	1			0x44D			
1771537292947	00		1771537292620		34.0		27.0		38.3		30.5		56.998	0.007	1			0x44D			
1771537293948	00		1771537293693		34.0		27.0		38.4		30.6		57.003	0.006	1			0x44D			
1771537294949	00		1771537294767		34.0		27.0		38.5		30.6		56.999	0.006	1			0x44D			
1771537295950	00		1771537295841		34.0		27.0		38.4		30.6		56.999	0.006	1			0x44D			
1771537296951	00		1771537296915		34.0		27.0		38.4		30.6		56.999	0.006	1			0x44D			
1771537297952	00		1771537296915		34.0		27.0		38.4		30.6		56.999	0.006	1			0x44D			
1771537298953	00		1771537297997		34.0		27.0		38.5		30.6		56.999	0.006	1			0x44D			
1771537299954	00		1771537299062		34.0		27.0		38.4		30.7		57.000	0.007	1			0x44D			
1771537300955	00		1771537300136		34.0		27.0		38.6		30.7		56.996	0.006	1			0x44D			
1771537301956	00		1771537301210		34.0		27.0		38.6		30.7		56.996	0.005	1			0x44D			
1771537302957	00		1771537302283		34.0		27.0		38.8		30.7		57.000	0.007	1			0x44D			
1771537303958	00		1771537303357		34.0		27.0		38.6		30.7		57.000	0.005	1			0x44D			
1771537304959	00		1771537304431		34.0		27.0		38.3		30.8		57.001	0.007	1			0x44D			
1771537305960	00		1771537305504		34.0		27.0		38.5		30.8		57.005	0.006	1			0x44D			
1771537306961	00		1771537306578		34.5		27.0		38.6		30.8		57.001	0.005	1			0x44D			
1771537307962	00		1771537307652		34.5		27.0		38.6		30.8		57.001	0.006	1			0x44D			
1771537308963	00		1771537308726		34.5		26.9		38.8		30.8		56.997	0.006	1			0x44D			
1771537309964	00		1771537309799		34.5		26.9		38.8		30.8		57.001	0.006	1			0x44D			
1771537310965	00		1771537310873		34.5		26.9		38.8		30.9		57.002	0.006	1			0x44D			
1771537311966	00		1771537311947		34.5		26.9		38.6		30.9		56.998	0.007	1			0x44D			
1771537312967	00		1771537311947		34.5		26.9		38.6		30.9		56.998	0.007	1			0x44D			
1771537313968	00		1771537313021		34.5		26.9		38.8		30.9		56.998	0.006	1			0x44D			
1771537314969	00		1771537314094		34.5		26.9		38.8		30.9		56.998	0.005	1			0x44D			
1771537315970	00		1771537315168		34.5		26.9		38.8		30.9		56.995	0.006	1			0x44D			
1771537316971	00		1771537316242		34.5		26.9		38.8		31.0		56.999	0.005	1			0x44D			
1771537317972	00		1771537317316		34.5		26.9		38.8		31.0		56.999	0.006	1			0x44D			
1771537318973	00		1771537318389		34.5		26.9		38.9		31.0		56.999	0.006	1			0x44D			
1771537319974	00		1771537319463		34.5		26.9		38.8		31.0		56.996	0.006	1			0x44D			
1771537320975	00		1771537320537		34.5		26.9		38.8		31.0		57.007	0.006	1			0x44D			
1771537321976	00		1771537321610		34.5		26.9		38.9		31.2		57.004	0.007	1			0x44D			
1771537322977	00		1771537322684		34.5		26.9		39.0		31.2		56.997	0.006	1			0x44D			
1771537323978	00		1771537323758		34.5		26.9		38.8		31.2		56.997	0.006	1			0x44D			
1771537324979	00		1771537324832		34.5		26.9		39.0		31.2		56.997	0.006	1			0x44D			
1771537325980	00		1771537325905		34.5		26.9		38.9		31.2		56.997	0.006	1			0x44D			
1771537326981	00		1771537326979		34.5		26.9		38.9		31.2		57.000	0.006	1			0x44D			
1771537327982	00		1771537326979		34.5		26.9		38.9		31.2		57.000	0.006	1			0x44D			
1771537328983	00		1771537328053		34.5		26.9		39.0		31.3		57.001	0.006	1			0x44D			
1771537329984	00		1771537329127		34.5		26.9		39.0		31.3		57.001	0.007	1			0x44D			
1771537330985	00		1771537330200		34.5		26.9		39.0		31.3		57.001	0.006	1			0x44D			
1771537331986	00		1771537331274		34.5		26.9		39.3		31.3		57.001	0.007	1			0x44D			
1771537332987	00		1771537332348		34.5		26.9		39.0		31.3		56.998	0.007	1			0x44D			
1771537333988	00		1771537333421		35.0		26.9		39.1		31.3		57.001	0.006	1			0x44D			
1771537334989	00		1771537334495		35.0		26.9		39.1		31.4		56.995	0.006	1			0x44D			
1771537335990	00		1771537335569		35.0		26.9		39.3		31.4		56.999	0.006	1			0x44D			
1771537336991	00		1771537336643		35.0		26.9		39.1		31.4		56.999	0.006	1			0x44D			
1771537337992	00		1771537337716		35.0		26.9		39.3		31.4		56.999	0.006	1			0x44D			
1771537338993	00		1771537338790		35.0		26.9		39.1		31.4		56.999	0.007	1			0x44D			
1771537339994	00		1771537339864		35.0		26.9		39.4		31.4		56.999	0.007	1			0x44D			
1771537340995	00		1771537340938		35.0		26.9		39.4		31.5		57.000	0.006	1			0x44D			
1771537341996	00		1771537340938		35.0		26.9		39.4		31.5		57.000	0.006	1			0x44D			
1771537342997	00		1771537342039		35.0		26.9		39.4		31.5		57.000	0.006	1			0x44D			
1771537343998	00		1771537343085		35.0		26.9		39.4		31.5		57.004	0.006	1			0x44D			
1771537344999	00		1771537344159		35.0		26.9		39.3		31.5		57.004	0.007	1			0x44D			
1771537346000	00		1771537345232		35.0		26.9		39.4		31.5		57.004	0.006	1			0x44D			
1771537347001	00		1771537346306		35.0		26.9		39.3		31.5		57.000	0.006	1			0x44D			
1771537348002	00		1771537347380		35.0		26.9		39.4		31.6		57.001	0.006	1			0x44D			
1771537349003	00		1771537348454		35.0		26.9		39.4		31.6		57.001	0.006	1			0x44D			
1771537350004	00		1771537349527		35.0		26.9		39.4		31.6		57.001	0.006	1			0x44D			
1771537351005	00		1771537350601		35.0		26.9		39.5		31.6		57.001	0.006	1			0x44D			
1771537352006	00		1771537351675		35.0		26.9		39.5		31.6		57.001	0.006	1			0x44D			
1771537353007	00		1771537352749		35.0		26.9		39.4		31.6		57.001	0.006	1			0x44D			
1771537354008	00		1771537353822		35.0		26.9		39.4		31.7		56.998	0.006	1			0x44D			
1771537355009	00		1771537354896		35.0		26.9		39.4		31.7		56.998	0.006	1			0x44D			
1771537356010	00		1771537355970		35.0		26.9		39.6		31.7		57.006	0.006	1			0x44D			
1771537357011	00		1771537355970		35.0		26.9		39.6		31.7		57.006	0.006	1			0x44D			
1771537358012	00		1771537357053		35.0		26.9		39.7		31.7		57.013	0.006	1			0x44D			
1771537359013	00		1771537358117		35.0		26.9		39.7		31.7		57.002	0.006	1			0x44D			
1771537360014	00		1771537359191		35.0		26.9		39.5		31.7		57.002	0.006	1			0x44D			
1771537361015	00		1771537360265		35.0		26.9		39.6		31.8		57.003	0.006	1			0x44D			
1771537362016	00		1771537361338		35.0		26.9		39.7		31.8		56.996	0.006	1			0x44D			
1771537363017	00		1771537362412		35.5		26.9		39.6		31.8		56.992	0.006	1			0x44D			
1771537364018	00		1771537363486		35.5		26.9		39.7		31.8		56.996	0.006	1			0x44D			
1771537365019	00		1771537364560		35.5		26.9		39.7		31.8		56.999	0.006	1			0x44D			
1771537366020	00		1771537365633		35.5		26.9		39.9		31.8		57.003	0.006	1			0x44D			
1771537367021	00		1771537366707		35.5		26.9		39.7		31.8		56.999	0.006	1			0x44D			
1771537368022	00		1771537367781		35.5		26.9		39.7		31.9		57.004	0.007	1			0x44D			
1771537369023	00		1771537368855		35.5		26.9		39.7		31.9		57.008	0.006	1			0x44D			
1771537370024	00		1771537369928		35.5		26.9		39.7		31.9		57.000	0.006	1			0x44D			
1771537371025	00		1771537371002		35.5		26.9		39.7		31.9		57.000	0.006	1			0x44D			
1771537372026	00		1771537371002		35.5		26.9		39.7		31.9		57.000	0.006	1			0x44D			
1771537373027	00		1771537372076		35.5		26.9		39.6		31.9		57.000	0.007	1			0x44D			
1771537374028	00		1771537373149		35.5		26.9		39.9		31.9		57.000	0.006	1			0x44D			
1771537375029	00		1771537374223		35.5		26.9		39.9		32.0		57.001	0.007	1			0x44D			
1771537376030	00		1771537375297		35.5		26.9		39.7		32.0		56.998	0.006	1			0x44D			
1771537377031	00		1771537376371		35.5		26.9		39.9		32.0		57.001	0.006	1			0x44D			
1771537378032	00		1771537377444		35.5		26.9		40.0		32.0		57.001	0.006	1			0x44D			
1771537379033	00		1771537378518		35.5		26.9		39.9		32.0		57.001	0.006	1			0x44D			
1771537380034	00		1771537379592		35.5		26.9		39.9		32.0		57.001	0.006	1			0x44D			
1771537381035	00		1771537380666		35.5		26.9		39.9		32.1		57.002	0.006	1			0x44D			
1771537382036	00		1771537381739		35.5		26.9		39.9		32.1		57.002	0.006	1			0x44D			
1771537383037	00		1771537382813		35.5		26.9		39.9		32.1		57.002	0.005	1			0x44D			
1771537384038	00		1771537383887		35.5		26.9		39.9		32.1		57.006	0.006	1			0x44D			
1771537385039	00		1771537384960		35.5		26.9		39.7		32.1		56.999	0.006	1			0x44D			
1771537386040	00		1771537386034		35.5		26.9		40.0		32.1		56.999	0.007	1			0x44D			
1771537387041	00		1771537386034		35.5		26.9		40.0		32.1		56.999	0.007	1			0x44D			
1771537388042	00		1771537387108		35.5		26.9		39.7		32.1		56.999	0.006	1			0x44D			
